"Datum";"Kärnten"
"2022-09-19";"5.884867131286229"
"2022-09-11";"5.911991222557176"
"2022-09-10";"5.91726490866444"
"2022-09-09";"5.921852881968403"
"2022-09-08";"5.92733408804494"
"2022-09-07";"5.929896084272946"
"2022-09-06";"5.934802767672444"
"2022-09-05";"5.941350586101382"
"2022-09-04";"5.944619297863295"
"2022-09-03";"5.948784681879444"
"2022-09-02";"5.952870721821349"
"2022-09-01";"5.95732493197766"
"2022-08-31";"5.960616205134087"
"2022-08-30";"5.966796910038785"
"2022-08-29";"5.970771242581442"
"2022-08-28";"5.966608558129504"
"2022-08-27";"5.972469076282103"
"2022-08-26";"5.97855643072978"
"2022-08-25";"5.98459147952801"
"2022-08-24";"5.9904657767577145"
"2022-08-23";"5.997716532019135"
"2022-08-22";"6.006418907917256"
"2022-08-21";"6.012009532294631"
"2022-08-20";"6.01843962888706"
"2022-08-19";"6.024927229041601"
"2022-08-18";"6.0334456426528265"
"2022-08-17";"6.042560006988984"
"2022-08-16";"6.046857676372761"
"2022-08-15";"6.052083713795245"
"2022-08-14";"6.057149959241266"
"2022-08-13";"6.0630454271025815"
"2022-08-12";"6.069152443044465"
"2022-08-11";"6.0739213837977415"
"2022-08-10";"6.079998824411104"
"2022-08-09";"6.085535998116207"
"2022-08-08";"6.094391169216135"
"2022-08-07";"6.1005089293293135"
"2022-08-06";"6.101952846531454"
"2022-08-05";"6.107750780106183"
"2022-08-04";"6.114057520993941"
"2022-08-03";"6.1218742125313135"
"2022-08-02";"6.128914974289721"
"2022-08-01";"6.139141486400613"
"2022-07-31";"6.1423187532320656"
"2022-07-30";"6.146350185508024"
"2022-07-29";"6.152652912069268"
"2022-07-28";"6.153019011633985"
"2022-07-27";"6.162129823511815"
"2022-07-26";"6.17066554767935"
"2022-07-25";"6.180511488016341"
"2022-07-24";"6.1816828165010325"
"2022-07-23";"6.189898868197324"
"2022-07-22";"6.196679515127743"
"2022-07-21";"6.207355130229781"
"2022-07-20";"6.222518472509951"
"2022-07-19";"6.234536982226068"
"2022-07-18";"6.2553301656920075"
"2022-07-17";"6.261965235033445"
"2022-07-16";"6.27330521425515"
"2022-07-15";"6.280450232885678"
"2022-07-14";"6.290659138333129"
"2022-07-13";"6.304176516942475"
"2022-07-12";"6.312781167190486"
"2022-07-11";"6.328478539546233"
"2022-07-10";"6.332272152314935"
"2022-07-09";"6.332276017521233"
"2022-07-08";"6.341805882558289"
"2022-07-07";"6.345394634586092"
"2022-07-06";"6.3575488593007865"
"2022-07-05";"6.366941839234718"
"2022-07-04";"6.3821050779187765"
"2022-07-03";"6.387786833561142"
"2022-07-02";"6.396479779123396"
"2022-07-01";"6.404718522241769"
"2022-06-30";"6.414895458049495"
"2022-06-29";"6.42680106075711"
"2022-06-28";"6.437404040842585"
"2022-06-27";"6.4507963628741045"
"2022-06-26";"6.45769241429007"
"2022-06-25";"6.463911478892218"
"2022-06-24";"6.470604571079452"
"2022-06-23";"6.473802942204429"
"2022-06-22";"6.481731855127329"
"2022-06-21";"6.490636361102373"
"2022-06-20";"6.502884408237519"
"2022-06-19";"6.508389033963409"
"2022-06-18";"6.508554213979208"
"2022-06-17";"6.514410483841942"
"2022-06-16";"6.517903227742501"
"2022-06-15";"6.522783695042844"
"2022-06-14";"6.527671476600161"
"2022-06-13";"6.524650909120075"
"2022-06-12";"6.527425618641076"
"2022-06-11";"6.5302288991727835"
"2022-06-10";"6.532982123640802"
"2022-06-09";"6.53684054046453"
"2022-06-08";"6.5367359737565724"
"2022-06-07";"6.5423381012734625"
"2022-06-06";"6.540972652696491"
"2022-06-05";"6.543501195950681"
"2022-06-04";"6.545688908581901"
"2022-06-03";"6.548273875006548"
"2022-06-02";"6.551521162421281"
"2022-06-01";"6.55426935021982"
"2022-05-31";"6.558448896566198"
"2022-05-30";"6.55729761813432"
"2022-05-29";"6.554741990331452"
"2022-05-28";"6.556330716995157"
"2022-05-27";"6.55868874718134"
"2022-05-26";"6.560199837510762"
"2022-05-25";"6.5624545116369335"
"2022-05-24";"6.564392116258094"
"2022-05-23";"6.567818901397736"
"2022-05-22";"6.561770099215907"
"2022-05-21";"6.563311050737107"
"2022-05-20";"6.565809992506633"
"2022-05-19";"6.569189246143996"
"2022-05-18";"6.568597239567283"
"2022-05-17";"6.573208090726501"
"2022-05-16";"6.578466486367955"
"2022-05-15";"6.574616616144788"
"2022-05-14";"6.577984486039061"
"2022-05-13";"6.582748154959031"
"2022-05-12";"6.5877869433157175"
"2022-05-11";"6.589993968341946"
"2022-05-10";"6.593200354139722"
"2022-05-09";"6.6017656454900875"
"2022-05-08";"6.598744030875908"
"2022-05-07";"6.603144471400693"
"2022-05-06";"6.607956569266861"
"2022-05-05";"6.614049322613164"
"2022-05-04";"6.6208593990359965"
"2022-05-03";"6.6287450972339155"
"2022-05-02";"6.633165002549636"
"2022-05-01";"6.634891627359462"
"2022-04-30";"6.638416334128132"
"2022-04-29";"6.644326561231261"
"2022-04-28";"6.651344916796296"
"2022-04-27";"6.647222130416102"
"2022-04-26";"6.6521598835044635"
"2022-04-25";"6.659400861122277"
"2022-04-24";"6.658618243369386"
"2022-04-23";"6.664203056813888"
"2022-04-22";"6.672403686658934"
"2022-04-21";"6.682599427086803"
"2022-04-20";"6.6883495955299805"
"2022-04-19";"6.677119264137138"
"2022-04-18";"5.338927692075775"
"2022-04-17";"5.338376764432069"
"2022-04-16";"5.342700896885453"
"2022-04-15";"5.351910165265977"
"2022-04-14";"5.356669095135622"
"2022-04-13";"5.358084590233098"
"2022-04-12";"5.35887108703094"
"2022-04-11";"5.337490362864623"
"2022-04-10";"5.329124343406058"
"2022-04-09";"5.335372329127904"
"2022-04-08";"5.3473203794213315"
"2022-04-07";"5.351655855240696"
"2022-04-06";"5.357203984527437"
"2022-04-05";"5.373757506507788"
"2022-04-04";"5.3851597424788995"
"2022-04-03";"5.394158563172648"
"2022-04-02";"5.383428403002931"
"2022-04-01";"5.398779406395076"
"2022-03-31";"5.424788926791557"
"2022-03-30";"5.430324722891144"
"2022-03-29";"5.45579744689867"
"2022-03-28";"5.4854122734431305"
"2022-03-27";"5.49998434963803"
"2022-03-26";"5.51222843177775"
"2022-03-25";"5.535122043792982"
"2022-03-24";"5.574303553618516"
"2022-03-23";"5.616584308466668"
"2022-03-22";"5.660526303569521"
"2022-03-21";"5.72344214765353"
